day,month,year,hour,minute,temp
21,2,2018,7,58,24.7275
21,2,2018,7,59,24.7363636364
21,2,2018,8,0,24.7490909091
21,2,2018,8,1,24.7570454545
21,2,2018,8,2,24.7768888889
21,2,2018,8,3,24.7688888889
21,2,2018,8,4,24.7865909091
21,2,2018,8,5,24.7956818182
21,2,2018,8,6,24.7990909091
21,2,2018,8,7,24.81
21,2,2018,8,8,24.8072093023
21,2,2018,8,9,24.8353191489
21,2,2018,8,10,24.8233333333
21,2,2018,8,11,24.836
21,2,2018,8,12,24.8426666667
21,2,2018,8,13,24.8637209302
21,2,2018,8,14,24.8751162791
21,2,2018,8,15,24.8731818182
21,2,2018,8,16,24.8986046512
21,2,2018,8,17,24.9073170732
21,2,2018,8,18,24.9027272727
21,2,2018,8,19,24.9241860465
21,2,2018,8,20,24.9270454545
21,2,2018,8,21,24.935
21,2,2018,8,22,24.9463636364
21,2,2018,8,23,24.9653488372
21,2,2018,8,24,24.9690909091
21,2,2018,8,25,24.9946511628
21,2,2018,8,26,25.0011627907
21,2,2018,8,27,25.013255814
21,2,2018,8,28,25.0202325581
21,2,2018,8,29,25.0255813953
21,2,2018,8,30,25.0339534884
21,2,2018,8,31,25.045
21,2,2018,8,32,25.0475
21,2,2018,8,33,25.0481818182
21,2,2018,8,34,25.05
21,2,2018,8,35,25.0479545455
21,2,2018,8,36,25.0520930233
21,2,2018,8,37,25.0417777778
21,2,2018,8,38,25.0658139535
21,2,2018,8,39,25.0433333333
21,2,2018,8,40,25.0464444444
21,2,2018,8,41,25.036122449
21,2,2018,8,42,25.0465116279
21,2,2018,8,43,25.0463636364
21,2,2018,8,44,25.0268181818
21,2,2018,8,45,25.0610638298
21,2,2018,8,46,25.0269047619
21,2,2018,8,47,25.0447916667
21,2,2018,8,48,25.0318181818
21,2,2018,8,49,25.0338636364
21,2,2018,8,50,25.0359090909
21,2,2018,8,51,25.033255814
21,2,2018,8,52,25.047755102
21,2,2018,8,53,25.0561363636
21,2,2018,8,54,25.0679545455
21,2,2018,8,55,25.0828571429
21,2,2018,8,56,25.0902272727
21,2,2018,8,57,25.1036363636
21,2,2018,8,58,25.1258139535
21,2,2018,8,59,25.1272093023
21,2,2018,9,0,25.1452272727
21,2,2018,9,1,25.1451219512
21,2,2018,9,2,25.1669387755
21,2,2018,9,3,25.1729545455
21,2,2018,9,4,25.1662222222
21,2,2018,9,5,25.1765
21,2,2018,9,6,25.1910638298
21,2,2018,9,7,25.1715909091
21,2,2018,9,8,25.1774418605
21,2,2018,9,9,25.1753488372
21,2,2018,9,10,25.1718604651
21,2,2018,9,11,25.1509090909
21,2,2018,9,12,25.1523255814
21,2,2018,9,13,25.1423809524
21,2,2018,9,14,25.1429545455
21,2,2018,9,15,25.1246511628
21,2,2018,9,16,25.1238095238
21,2,2018,9,17,25.1013333333
21,2,2018,9,18,25.0988372093
21,2,2018,9,19,25.0843181818
21,2,2018,9,20,25.0762790698
21,2,2018,9,21,25.0713953488
21,2,2018,9,22,25.0618604651
21,2,2018,9,23,25.07
21,2,2018,9,24,25.0345652174
21,2,2018,9,25,25.0332608696
21,2,2018,9,26,25.0667391304
21,2,2018,9,27,25.0444186047
21,2,2018,9,28,25.0306521739
21,2,2018,9,29,25.0044444444
21,2,2018,9,30,25.07975
21,2,2018,9,31,25.032
21,2,2018,9,32,25.0175
21,2,2018,9,33,25.0120454545
21,2,2018,9,34,25.0165909091
21,2,2018,9,35,25.014
21,2,2018,9,36,24.9830434783
